concurso,acertos,loss
178,11,0.6760509610176086
179,9,0.6741829514503479
180,9,0.6690605282783508
181,10,0.6883218288421631
182,10,0.6891689896583557
183,8,0.6765636205673218
184,10,0.6480827927589417
185,11,0.6687690615653992
186,10,0.6643589735031128
187,11,0.6692583560943604
188,11,0.6463818550109863
189,10,0.654955267906189
190,9,0.6872127652168274
191,11,0.6474334001541138
192,10,0.6594995260238647
193,8,0.7104611396789551
194,7,0.7019821405410767
195,11,0.6490910053253174
196,7,0.7094056606292725
197,9,0.6892042756080627
198,12,0.6286489963531494
199,11,0.6301426887512207
200,11,0.6411885619163513
201,9,0.670348584651947
202,8,0.6964353322982788
203,10,0.6623235940933228
204,8,0.7004157900810242
205,9,0.7037137746810913
206,9,0.6835837364196777
207,8,0.6723915934562683
208,9,0.7138728499412537
209,10,0.6956159472465515
210,7,0.697543203830719
211,9,0.6817458868026733
212,11,0.6458389759063721
213,11,0.629676878452301
214,10,0.664280116558075
215,10,0.6899943351745605
216,8,0.7039555311203003
217,9,0.702965497970581
218,9,0.6977748870849609
219,9,0.709134578704834
220,8,0.6988475322723389
221,9,0.6629300117492676
222,9,0.6693229675292969
223,9,0.6787736415863037
224,10,0.6584342122077942
225,8,0.6977109313011169
226,7,0.6956753730773926
227,9,0.6877207159996033
228,8,0.7041206955909729
229,9,0.6710962057113647
230,8,0.6965271830558777
231,10,0.6913602352142334
232,9,0.6884487867355347
233,11,0.6411498188972473
234,8,0.6961711049079895
235,11,0.6415559649467468
236,9,0.6790859699249268
237,8,0.6708280444145203
238,10,0.6653140783309937
239,11,0.6405915021896362
240,8,0.6809074282646179
241,9,0.6828556060791016
242,9,0.6743379235267639
243,7,0.7231056094169617
244,8,0.6840910315513611
245,9,0.6696145534515381
246,10,0.6512869000434875
247,11,0.651017427444458
248,9,0.684162437915802
249,10,0.6626368165016174
250,11,0.646058201789856
251,8,0.6842458844184875
252,11,0.6472840309143066
253,9,0.6787769794464111
254,10,0.661689281463623
255,8,0.690060019493103
256,7,0.6992408037185669
257,10,0.6802177429199219
258,7,0.7007836699485779
259,7,0.6854637265205383
260,11,0.6560848951339722
261,7,0.7046584486961365
262,9,0.6551220417022705
263,11,0.6567815542221069
264,9,0.6774489879608154
265,9,0.6546213030815125
266,11,0.665504515171051
267,7,0.7032329440116882
268,8,0.6629857420921326
269,9,0.6678087711334229
270,10,0.6805498003959656
271,10,0.6549181938171387
272,8,0.6993772387504578
273,9,0.6941964030265808
274,7,0.7022971510887146
275,8,0.6948854327201843
276,11,0.6633627414703369
277,11,0.6553648114204407
278,10,0.672243595123291
279,10,0.6671450138092041
280,9,0.655974805355072
281,10,0.675716757774353
282,10,0.6637341976165771
283,12,0.648888111114502
284,12,0.6241870522499084
285,11,0.645250678062439
286,10,0.6822100877761841
287,9,0.6573687195777893
288,8,0.6666354537010193
289,10,0.6784974932670593
290,9,0.684009850025177
291,10,0.6932413578033447
292,10,0.657194972038269
293,11,0.662861704826355
294,9,0.6728068590164185
295,9,0.6962893605232239
296,10,0.6615330576896667
297,9,0.6578822135925293
298,7,0.7091932892799377
299,10,0.6716261506080627
300,9,0.6790659427642822
301,9,0.6859044432640076
302,7,0.6997693777084351
303,9,0.6701849102973938
304,10,0.6988179683685303
305,10,0.6623833179473877
306,9,0.6679521203041077
307,13,0.6178169846534729
308,8,0.6968969702720642
309,9,0.6888389587402344
310,8,0.671000063419342
311,10,0.6788299083709717
312,8,0.6863536834716797
313,10,0.6630744338035583
314,8,0.6969185471534729
315,8,0.6852055191993713
316,11,0.6655082106590271
317,11,0.6559845209121704
318,8,0.6802874803543091
319,10,0.6499428749084473
320,9,0.692405104637146
321,9,0.6692653894424438
322,8,0.7033905982971191
323,8,0.6984187364578247
324,9,0.6786649823188782
325,7,0.6659407019615173
326,10,0.6411253213882446
327,13,0.6148467063903809
328,8,0.6856579780578613
329,11,0.6399821639060974
330,11,0.6487733721733093
331,9,0.7000269293785095
332,12,0.6264727711677551
333,9,0.6789618730545044
334,7,0.6922900676727295
335,9,0.6796401739120483
336,10,0.6738508343696594
337,9,0.6794288754463196
338,9,0.6814708709716797
339,9,0.7017637491226196
340,10,0.6863506436347961
341,12,0.6332734823226929
342,10,0.6771542429924011
343,11,0.6695554256439209
344,9,0.6813654899597168
345,9,0.6675744652748108
346,8,0.7029910087585449
347,7,0.6986832618713379
348,8,0.6936407685279846
349,11,0.6402498483657837
350,10,0.6723813414573669
351,9,0.6560733318328857
352,8,0.695497989654541
353,8,0.6799122095108032
354,9,0.664017915725708
355,10,0.6743931770324707
356,9,0.6741349697113037
357,9,0.6578179001808167
358,8,0.6841861009597778
359,8,0.6864171028137207
360,8,0.6747810244560242
361,9,0.6755579113960266
362,9,0.679858922958374
363,11,0.6680447459220886
364,11,0.6621633172035217
365,9,0.6955599784851074
366,9,0.6812337636947632
367,10,0.6773221492767334
368,10,0.6740408539772034
369,8,0.6778397560119629
370,8,0.6964027881622314
371,10,0.6655250787734985
372,10,0.6526728272438049
373,10,0.6672008633613586
374,9,0.6901878118515015
375,8,0.6878736615180969
376,11,0.647520899772644
377,11,0.629332423210144
378,8,0.6853799223899841
379,8,0.6929744482040405
380,10,0.6572045683860779
381,9,0.6780194044113159
382,9,0.6755016446113586
383,10,0.6754070520401001
384,11,0.6570056080818176
385,11,0.6671611070632935
386,11,0.6507862210273743
387,7,0.7131165266036987
388,10,0.6516277194023132
389,10,0.6727620959281921
390,12,0.6442334055900574
391,11,0.6658248901367188
392,8,0.7106494903564453
393,7,0.7061124444007874
394,12,0.6652067303657532
395,8,0.6942727565765381
396,9,0.6791054010391235
397,8,0.6894684433937073
398,10,0.6731013655662537
399,9,0.6801645159721375
400,8,0.7073167562484741
401,9,0.6861884593963623
402,11,0.6499672532081604
403,6,0.7246232628822327
404,8,0.6799206733703613
405,9,0.6895545721054077
406,8,0.6744482517242432
407,11,0.6572274565696716
408,7,0.7077033519744873
409,9,0.6765953302383423
410,8,0.7039496898651123
411,9,0.67006516456604
412,7,0.683519721031189
413,8,0.6854522228240967
414,9,0.6840155720710754
415,8,0.6845403909683228
416,12,0.6513168215751648
417,9,0.6828084588050842
418,7,0.7003528475761414
419,9,0.6735142469406128
420,9,0.6579742431640625
421,10,0.6680970191955566
422,10,0.6658110618591309
423,9,0.6887364983558655
424,10,0.6710188984870911
425,9,0.6764608025550842
426,10,0.6733535528182983
427,10,0.6658973693847656
428,10,0.6721805334091187
429,10,0.6567279100418091
430,11,0.6520884037017822
431,9,0.6724900007247925
432,11,0.6603360772132874
433,10,0.6671550869941711
434,9,0.6791329979896545
435,10,0.6669325232505798
436,8,0.6882743835449219
437,10,0.6643703579902649
438,11,0.6613115072250366
439,11,0.6501604318618774
440,10,0.6747739911079407
441,8,0.6857115030288696
442,9,0.679613471031189
443,9,0.6795156002044678
444,9,0.6645426750183105
445,9,0.6811190247535706
446,8,0.690687894821167
447,8,0.6856104135513306
448,10,0.6694340705871582
449,8,0.6928533911705017
450,9,0.679421603679657
451,7,0.6972038149833679
452,11,0.6707572937011719
453,10,0.666898787021637
454,9,0.6660322546958923
455,11,0.659015953540802
456,10,0.6543946266174316
457,8,0.693449854850769
458,10,0.662639319896698
459,11,0.650099515914917
460,9,0.6782532334327698
461,9,0.6943596005439758
462,9,0.6781144142150879
463,9,0.680005669593811
464,11,0.659121572971344
465,7,0.6986076831817627
466,8,0.6829155087471008
467,10,0.6654172539710999
468,8,0.6790193915367126
469,8,0.684266209602356
470,10,0.6668106317520142
471,8,0.6888468265533447
472,10,0.6633602380752563
473,10,0.6566523909568787
474,10,0.6769306063652039
475,9,0.6831035614013672
476,8,0.6969320178031921
477,10,0.6736659407615662
478,10,0.6617864966392517
479,8,0.6768548488616943
480,9,0.6767131090164185
481,8,0.6838088035583496
482,9,0.6701357960700989
483,8,0.6905155777931213
484,7,0.6970702409744263
485,11,0.6589623093605042
486,7,0.6961185336112976
487,8,0.6801844239234924
488,9,0.6639189720153809
489,7,0.6855847239494324
490,10,0.6658956408500671
491,11,0.6453637480735779
492,10,0.6663636565208435
493,9,0.6890910863876343
494,10,0.6598671674728394
495,10,0.6702921986579895
496,10,0.6612407565116882
497,10,0.6531769633293152
498,9,0.6651384830474854
499,7,0.7074323296546936
500,11,0.6545903086662292
501,9,0.6795921325683594
502,11,0.6542537212371826
503,8,0.6840068101882935
504,9,0.6857091784477234
505,9,0.6759340763092041
